goal_id,match_id,minute,goal_type,player_id,assist_player_id,event_type,player_name,is_penalty,is_own_goal,xg_probability,shot_quality_index
goal_f81e3f172ab7,match_4e36c7ee8375,27,right-footed_shot,player_405c03e2ba7a,player_3ea6dae804a2,goal,Romelu Lukaku,False,False,NULL,NULL
goal_8a976983614b,match_4e36c7ee8375,57,left-footed_shot,player_478dc0e94eb8,NULL,goal,Henrikh Mkhitaryan,False,False,NULL,NULL
goal_42216cebbed2,match_4e36c7ee8375,90,left-footed_shot,player_e055aa52e04a,player_ddb12f4e1135,goal,Konstantin Kuchaev,False,False,NULL,NULL
goal_5fbeb30049d1,match_6dc70e9cc4f9,64,free_kick,player_24dbccbf6805,NULL,goal,Marcus Rashford,False,False,NULL,NULL
goal_d97390fc34eb,match_73e75c78d03e,29,right-footed_shot,player_2a3002a1d33f,NULL,goal,Taulant Xhaka,False,False,NULL,NULL
goal_723479434786,match_73e75c78d03e,90,right-footed_shot,player_27f7da634c4f,player_60e73e857c6c,goal,Dimitri Oberlin,False,False,NULL,NULL
goal_f138dd2fc002,match_76f818a03e74,45,own_goal,player_c53544522263,NULL,goal,Mile Svilar,False,True,NULL,NULL
goal_165d38141330,match_76f818a03e74,78,penalty,player_39f3e93a9159,player_370e2cf89c3d,goal,Daley Blind,True,False,NULL,NULL
goal_5b333122083d,match_a5f1bfab8db1,32,left-footed_shot,player_a1ef81eb2122,NULL,goal,Luca Zuffi,False,False,NULL,NULL
goal_3f51e9ac5ac9,match_a5f1bfab8db1,65,right-footed_shot,player_0fb219f65317,NULL,goal,Alan Dzagoev,False,False,NULL,NULL
goal_81ad524e684d,match_a5f1bfab8db1,79,right-footed_shot,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_525ab7dffbdc,match_2d402b11aef8,13,left-footed_shot,player_c7af377d3442,player_61d9762f62f5,goal,Georgiy Shchennikov,False,False,NULL,NULL
goal_984a2013bd37,match_2d402b11aef8,56,own_goal,player_d41d8cd98f00,NULL,goal,NULL,False,True,NULL,NULL
goal_487dbe9ff753,match_69b5a021ed71,89,right-footed_shot,player_7404f6824dd1,player_b897c11d905e,goal,Michael Lang,False,False,NULL,NULL
goal_aecf0cc0d273,match_4b6103189199,5,header,player_7e0e7e5f5f9e,player_299f78d288e5,goal,Mohamed Elyounoussi,False,False,NULL,NULL
goal_ae557a34b478,match_4b6103189199,65,header,player_27f7da634c4f,player_748cd8da3269,goal,Dimitri Oberlin,False,False,NULL,NULL
goal_58a0d583e5d7,match_4bfdc491dce5,45,null,player_0fb219f65317,player_548fe80977dc,goal,Alan Dzagoev,False,False,NULL,NULL
goal_ea9882f391a9,match_4bfdc491dce5,64,left-footed_shot,player_405c03e2ba7a,player_be9f98a68f3b,goal,Romelu Lukaku,False,False,NULL,NULL
