cluster,size,pc1_mean,pc2_mean,pc1_median,pc2_median,top_positions,top_seasons,example_players
0,1544,1.3025478000261048,-2.030539550960363,1.0215000601819018,-1.9013841652326615,Midfielder: 44.9%; Forward: 30.6%; Defender: 24.4%,2021-2022: 65.3%; 2024-2025: 6.7%; 2023-2024: 5.0%,Vinícius Júnior; Rodrygo; Lucas Vázquez; Marcelo; Luis Díaz
1,1089,-3.660078056563133,0.022633807560371928,-3.5728003933290493,-0.2836433221770196,Defender: 33.7%; Midfielder: 28.2%; Goalkeeper: 26.0%,2021-2022: 84.8%; 2024-2025: 3.5%; 2019-2020: 2.5%,Thibaut Courtois; Benjamin Mendy; Miguel Gutiérrez; Phil Jones; Jan Oblak
2,1037,1.9042345230057276,2.999522517116256,1.7815947517367547,3.279678414289355,Midfielder: 50.0%; Defender: 42.2%; Forward: 7.8%,2021-2022: 43.7%; 2018-2019: 8.6%; 2020-2021: 8.6%,Luka Modric; Éder Militão; David Alaba; Casemiro; Toni Kroos
