player_id,player_name,position_group,degree,weighted_degree,pagerank,betweenness,closeness,eigenvector
player_1c1f19d66219,Mats Seiler,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.254955514358144
player_c3983ca4a1bc,Fran González,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581441
player_21afac74befd,Francisco Silva,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581441
player_eff487fb97e0,Kjell Wätjen,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.25495551435814406
player_e5e78c9e885f,Dennis Seimen,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581441
player_9f301705455a,Francis Onyeka,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.25495551435814395
player_64a9e0a0f390,Miguel Chaiwa,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581441
player_1c0ef0defb8e,Noah Jauny,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581442
player_868de12d93e7,Gianluca Prestianni,Midfielder,67,67.0,0.001067032283239281,0.0027598914972920678,0.2517499845134114,0.2549555143581441
player_37f823fc8300,Nicolás Otamendi,Defender,106,36.25770727823888,0.0010632066548899016,0.012521881892739341,0.31063211801574564,4.474056241773621e-06
player_be71d8a238a1,Luka Modric,Midfielder,116,37.85698321978355,0.0010431471086577286,0.004833793745622821,0.3219774996038663,0.0019783755171609166
player_926e27eecdbc,Pepe,Midfielder,107,33.70453893039361,0.0010047880132301149,0.011533930537905563,0.33143043549176315,0.0014516537521503867
player_8262dda58ffd,Xabi Alonso,Midfielder,105,32.22323978881761,0.0009960895406401823,0.008116102720983466,0.3199496142339789,0.0035668422568239967
player_3365e7eb8e9e,Thomas Müller,Midfielder,109,32.927264679490015,0.0009812281037458977,0.01186964616985577,0.32600673832825283,0.0006946183089362181
player_220d8e1ddbe5,Ángel Di María,Forward,95,27.22142980076933,0.0009705066286003188,0.010678720622878972,0.3205552926329074,1.7207044786658716e-05
player_d8c5a555e13b,David Alaba,Defender,109,35.51562907556445,0.00095334800748574,0.004505790373610112,0.3126394338026002,2.1694406609887327e-06
player_5182eba2b679,Carvajal,Defender,100,33.20826950916028,0.0009494533267391535,0.004465884675615881,0.301797118669241,1.2826889878218057e-06
player_8ecc3aa3b0c4,Thiago Silva,Defender,113,32.90267633746575,0.0009461886362803071,0.026053398443863354,0.3385538153948684,6.7896792464143735e-06
player_053afce6ba98,Raheem Sterling,Forward,88,26.64060567092197,0.0009456309521227446,0.009505300517913439,0.31455108359133127,3.7651104613351327e-06
player_8fd4cb861bd7,Toni Kroos,Midfielder,102,33.805191114385984,0.0009446839118126795,0.0047269985166087805,0.3124471438456216,0.0008607109534345203
player_dc0f1e9684a0,Ibrahima Mbaye,Defender,56,50.36530979753333,0.0009296746516177432,0.004463302210749602,0.2804499344420675,2.012442257318295e-06
player_f1b57569ab8f,Raphaël Varane,Defender,91,33.69269998690067,0.0009245966476294383,0.0033974204104732135,0.29353557240881184,1.2077724902831085e-06
player_0841e723560b,Rafinha,Midfielder,86,32.40027082876724,0.0009212659593910997,0.0048955283267655735,0.3097088858405731,0.0009256002988692095
player_3fca88662462,Fernandinho,Midfielder,95,30.975151262085316,0.0009202971276705122,0.006821441013092384,0.31707887961301395,0.0005540824544504342
player_6debe2654505,José María Giménez,Defender,92,32.11421256523853,0.0009192449973179561,0.007331449679363592,0.30811220621683094,1.8338055182290003e-06
player_d5197c569b55,Lucas Moura,Midfielder,85,31.550469903956113,0.0009142355393854335,0.008848253159965905,0.320201701859439,0.0006753382754086745
player_8b8018f5dfda,Alex Oxlade-Chamberlain,Midfielder,81,30.373499283760154,0.0009021054909237924,0.005649955606855742,0.3076224358489138,0.002217710227735947
player_cf597a337234,Jérôme Boateng,Defender,98,31.665523329589867,0.0008801929362524499,0.006196051489094751,0.31065586301788717,2.078317932634323e-06
player_320b3a59a649,Marquinhos,Defender,104,31.73899827226149,0.0008799881815048597,0.009573018463461124,0.31909547738693467,2.9358067270936427e-06
player_27a443f56bec,Sergio Ramos,Defender,95,31.513680983375334,0.0008791883964224228,0.008331706050615693,0.3043738765727981,1.7222090299164547e-06
player_d5f3e3f0308c,César Azpilicueta,Defender,89,34.98519840489999,0.0008719168321383911,0.012946395510895247,0.31824588880187943,4.9813743499129045e-06
player_478dc0e94eb8,Henrikh Mkhitaryan,Midfielder,89,30.637591952545563,0.0008561885437737063,0.002849450883832179,0.3112983531214094,0.0005998069081540035
player_fac30eb33e25,Samuel Nibombe,Defender,48,47.271557446736495,0.0008490167241581142,0.00155417528018791,0.2711864406779661,1.8643009763526743e-06
player_fb965d68e8f0,Lilian Baret,Defender,48,47.271557446736495,0.0008490167241581142,0.00155417528018791,0.2711864406779661,1.8643009763503204e-06
player_4abe3591f28f,Guillermo Fernandez,Defender,48,47.271557446736495,0.0008490167241581142,0.00155417528018791,0.2711864406779661,1.864300976352522e-06
player_9bd7d1ec841d,Jimi Gower,Defender,48,47.24568557980678,0.000846685659228115,0.0015951284647953729,0.2716577540106952,1.8643502003415687e-06
player_5823d8fe989d,Pablo Hernández,Midfielder,84,27.04689433316593,0.0008460621861697388,0.01034648588998889,0.32729322702746233,0.0006531394735930534
player_d83c2f1d11d4,Mario Gómez,Forward,80,22.975507864978802,0.0008457649110450228,0.017127667542198036,0.3212902205707961,4.063717747613386e-06
player_2c8b60ff5713,Blaise Matuidi,Midfielder,80,29.433437141782164,0.0008418733908051085,0.003395101190613235,0.31215915200860284,0.0018361788503931053
player_4f9de1b3f737,Oliver Sorg,Defender,47,47.0,0.0008390715423525491,0.00143381801806528,0.27102367455818605,1.8637408275193557e-06
player_a4862ee6fb1b,Trey Nyoni,Defender,47,47.0,0.0008390715423525491,0.00143381801806528,0.27102367455818605,1.863740827514207e-06
player_b2ed425189dc,Christopher Olivier,Defender,47,47.0,0.0008390715423525491,0.00143381801806528,0.27102367455818605,1.8637408275094975e-06
player_06ba5bedb3e3,Marc Aznar,Defender,47,47.0,0.0008390715423525491,0.00143381801806528,0.27102367455818605,1.8637408275110883e-06
player_353f1e4b5f8d,Olivier Giroud,Forward,79,23.538263608095473,0.0008380298796736258,0.01311826800949711,0.33126834039778286,2.2207862453777153e-05
player_5ef16e17864d,Ilkay Gündogan,Midfielder,95,29.93820541749971,0.0008343496239400539,0.005333238814247093,0.31814623453890717,0.0005986006011769542
player_2c40837dd4b9,Sandro,Midfielder,91,28.177634200529873,0.0008310916760590734,0.005378258611941283,0.31343513805337037,0.0005621679476484742
player_aa02b0a456be,Javi García,Midfielder,82,26.48456664418061,0.0008177668548243496,0.0057359600925146505,0.3088145896656535,0.0015124889785086825
player_27aacb391c52,Cuadrado,Midfielder,81,26.45323962464533,0.0008135501887863924,0.00547812690363119,0.31106008419441256,0.0015567675030689098
player_a00de8bd0f12,Benzema,Forward,86,22.644715129532205,0.0008128243934588991,0.009001248038907823,0.3242898180657517,1.4660487328183424e-05
player_74a0a808dc50,Bernardo Silva,Midfielder,86,28.81666705116009,0.0008000855683475006,0.009252012291433359,0.3212140373063547,0.0016795936918282237
player_d477d15349db,Ben Davies,Defender,81,29.24557271426586,0.0007995475975947504,0.004127892844036034,0.2956066336921734,1.6853666220912407e-06
player_66943afc80ff,Isco,Midfielder,88,26.018093132514828,0.0007989454677952839,0.010287733717244613,0.3184453847359348,0.0012178098882107374
player_7b8ecac5bf37,Marco Verratti,Midfielder,91,26.506511992955385,0.0007943320949568832,0.011408533838024447,0.32312952214359547,0.00039413249284504873
player_e21de004eb45,Sami Khedira,Midfielder,85,26.985683234468315,0.0007937528649868381,0.008841792513261686,0.32403125498325624,0.0031537731673877195
player_483700c69e05,Franck Ribéry,Forward,74,22.5446673132889,0.0007924898469056691,0.01039759086255934,0.31343513805337037,2.687494748620102e-06
player_2a7a67917f74,Sergio Busquets,Midfielder,84,27.532607046683935,0.0007879446203276022,0.004223213273717253,0.3144294003868472,0.0015955931714134418
player_f8fc256e8624,Zlatan Ibrahimovic,Forward,70,26.0386763610652,0.0007874354204447499,0.010826120743671352,0.313652851740372,2.7083327663273875e-05
player_807cafb79fd2,Piqué,Defender,83,27.57515099580402,0.00078513176653013,0.0034315450066643993,0.2987356659805939,1.4083269158935537e-06
player_19d5cc5e7754,Luuk de Jong,Forward,69,20.320019583042473,0.0007836701573841695,0.00707696700227274,0.3026061057334326,1.7774002010861188e-06
player_6a154fc36edb,David Silva,Midfielder,83,27.08741503191405,0.0007830273391558586,0.0038826947407221003,0.31249519415609384,0.00041863874932145204
player_698859671092,Ivan Rakitić,Midfielder,83,28.49228476606826,0.0007801754588193774,0.0026462389803845812,0.3101579790887583,0.0006571430216446726
player_62bf43e2db26,Danilo,Defender,70,26.220775810372746,0.0007740090120252471,0.004202816453436455,0.29174443646805454,8.813165859766636e-07
player_e8ace7d38552,Cesc Fàbregas,Midfielder,80,25.977060644737026,0.0007732515006519175,0.0042377800917683265,0.3105609047837383,0.0005997521772571762
player_6b265a603d65,Mats Hummels,Defender,92,26.71869314889554,0.0007715394565614653,0.030618557477670633,0.34417344173441733,2.7205263143634962e-05
player_309d9af0b27f,Gonzalo Higuaín,Forward,71,22.264366664101324,0.0007680368708080246,0.0037269030591391694,0.30694864048338366,3.7367680476129183e-06
player_7e7dcb823cb8,Robertson,Defender,78,25.58400205844189,0.0007661136642575128,0.0035618813316018213,0.2918911154205272,5.876391075091339e-07
player_15ee9f0a5ec3,Koke,Midfielder,84,27.330802318976644,0.0007642656279845799,0.002393392481922469,0.3062777903383827,0.0006451984499697392
player_05725319ded7,Maximilian Arnold,Midfielder,82,27.45691145855859,0.0007588018982787878,0.00279720879510512,0.30639324487334135,0.001272434525205241
player_f52996d8a757,Mario Suárez,Midfielder,73,25.696409484197517,0.0007549447671294608,0.00567821718517661,0.3128319605880995,0.0038765080979836965
player_ee77c18d5a8e,Mesut Özil,Midfielder,71,26.12260553088208,0.0007475597365406942,0.0024753951185126316,0.3134834927491515,0.0022763899048602494
player_9322d5a0d585,Marcus Thuram,Forward,59,20.87741828735832,0.0007467889133016628,0.0038381146714543636,0.29214290848968444,1.7990856254910471e-06
player_a7a34c419974,Héctor Herrera,Midfielder,79,24.36442579794963,0.0007439786291325626,0.01600636980830777,0.3345406651300626,0.0013516419088317072
player_d167a8b5937a,Álvaro Morata,Forward,72,20.456206003342032,0.0007393750634169282,0.005984501471337622,0.3138223938223938,1.1498519554949804e-05
player_f8cd12a1012b,Granit Xhaka,Midfielder,73,24.425127284789188,0.0007364197446017112,0.009929608782181533,0.3182957393483709,0.00029444173044876554
player_7e0f7fb89b67,Marcel Lotka,Goalkeeper,43,39.08030145542516,0.0007336084699641109,0.0021429942260383942,0.22000866175833694,5.74438777087841e-07
player_8764c335b0a0,Emre Can,Midfielder,77,25.331899290037025,0.0007332653508328575,0.004170260704242996,0.3057708223609962,0.00033930522916182393
player_a21d85a2df18,Axel Witsel,Midfielder,68,24.807538100755593,0.0007304923152004003,0.013658742755618736,0.32282151084279925,0.002004254093543992
player_c58128c7773c,Kevin De Bruyne,Midfielder,77,23.89563248564211,0.000729749498989799,0.006653048419074183,0.313314316552309,0.0004234956331516028
player_e74ce1bc2d80,Nélson Semedo,Defender,72,25.810273254287313,0.0007287018768850973,0.006490478574966511,0.30657815328907667,1.3223450789393823e-06
