player_id,player_name,season,position_group,PC1,PC2,kmeans_cluster,dbscan_cluster
player_9612786ef3bc,Daniel Parejo,2021-2022,Other,9.377542908243926,-4.357970231430875,1,0
player_6044bc1e3995,Capoue,2021-2022,Midfielder,12.89098877080394,-4.790269156895377,1,0
player_38080c6e52f1,Albiol,2021-2022,Defender,7.434917384148072,-3.221700548998135,1,0
player_c39471220d1b,Ederson,2021-2022,Unknown,1.685390423935941,-1.515624971679005,1,0
player_3eeb25d08a83,Mahrez,2021-2022,Midfielder,13.280088147912972,-6.245047421588469,1,0
player_e89b16e4fa68,Danjuma,2021-2022,Midfielder,7.403757800550157,-4.006125048950991,1,0
player_58ec184b4003,Vertonghen,2021-2022,Defender,6.601850244572988,-3.008117732894503,1,0
player_cc7e997b3339,Vlachodimos,2021-2022,Goalkeeper,1.0672602133643168,-1.3815952804819291,0,0
player_f9e6c206e685,Oblak,2021-2022,Goalkeeper,0.2688651507122479,-1.070888556220636,0,0
player_bdce0bc8e76e,Foyth,2021-2022,Defender,7.197784618614403,-2.838675560455279,1,0
player_74a0a808dc50,Bernardo Silva,2021-2022,Unknown,8.278818218749864,-4.045286098758018,1,0
player_ccb8c1e24fb7,Lewandowski,2021-2022,Forward,12.663221332002758,-6.445388016035919,1,0
player_f242caf039ff,Grimaldo,2021-2022,Defender,6.730611110217263,-3.0604502065757617,1,0
player_999d89d1817f,Rodri,2021-2022,Unknown,11.926023561306112,-4.313598173887279,1,0
player_69a0717472db,João Cancelo,2021-2022,Unknown,12.446550248100518,-5.375512977841054,1,0
player_095d1d3409b9,Rüdiger,2021-2022,Defender,10.99361477488724,-4.4896519231228345,1,0
player_8e71804d6d1e,Reinildo,2021-2022,Defender,8.58028756965887,-3.04178796083592,1,0
player_81d6b862b661,Neuer,2021-2022,Unknown,2.1052077529416984,-1.7365092945070053,1,0
player_f4e98340e600,Weigl,2021-2022,Midfielder,7.676146681517489,-2.908785699034368,1,0
player_566ac8740a2d,Otamendi,2021-2022,Defender,10.279264332594874,-3.429742060043357,1,0
player_d2ea12782ce7,Sané,2021-2022,Midfielder,11.368312382730975,-5.574027662998254,1,0
player_47b2e1f7ed63,Laporte,2021-2022,Defender,9.073945379014948,-3.914226525206849,1,0
player_e6aefa73930e,Müller,2021-2022,Forward,8.562445412705525,-3.9087438503013288,1,0
player_f4e9bc76ea56,Pavard,2021-2022,Unknown,9.522332871191468,-3.682380762067393,1,0
player_8ecc3aa3b0c4,Thiago Silva,2021-2022,Unknown,8.973730022851157,-3.703697716698843,1,0
player_1514a6806671,De Bruyne,2021-2022,Midfielder,9.698099816741625,-4.1251925506007225,1,0
player_fad48fbe33c5,Škriniar,2021-2022,Defender,7.724624297419726,-3.3322342645275764,1,0
player_50a518cf43e1,Kristensen,2021-2022,Defender,7.283493053008354,-2.55992512311923,1,0
player_d2f0c2947114,Martínez,2021-2022,Defender,9.817703030399024,-3.868722197801317,1,0
player_320b3a59a649,Marquinhos,2021-2022,Unknown,5.25219060168862,-2.632394825611029,1,0
player_d4ad10396e23,Fonte,2021-2022,Defender,7.210065727269786,-2.953586919110325,1,0
player_4149dcc82311,Köhn,2021-2022,Goalkeeper,0.2637194851841385,-0.9651537494728776,0,0
player_4183e08d2695,Handanovič,2021-2022,Goalkeeper,0.9362426366765846,-1.2206036511599854,0,0
player_471cc4078df7,Hakimi,2021-2022,Unknown,5.24185991581889,-2.57214843907991,1,0
player_b0e3e68dab30,Ulmer,2021-2022,Defender,6.045927574859471,-2.332323425467328,1,0
player_bafff1df7d91,Gilberto,2021-2022,Unknown,7.242312483068238,-2.7077585688067614,1,0
