algorithm,k,inertia,silhouette,calinski_harabasz,davies_bouldin,cluster_count,noise_ratio
kmeans,2,4455.581485148126,0.41459414165303204,2374.5830047497084,1.0103010403007608,2,0.0
kmeans,3,2438.5568095124136,0.45360695771884846,3685.2960292795888,0.7519227975054505,3,0.0
kmeans,4,1921.502928486961,0.40128652367785694,3445.9656901930352,0.8191512999136619,4,0.0
kmeans,5,1499.9788296092865,0.40667204571711274,3567.329946092839,0.8001749864187919,5,0.0
kmeans,6,1180.6980932060987,0.42015358145371695,3822.7971462794007,0.7791952518642091,6,0.0
kmeans,7,1030.509705724805,0.4030283600930268,3737.9250700934685,0.7988807918834572,7,0.0
kmeans,8,918.2850221657377,0.3770310393196438,3658.460665640164,0.8444545483585975,8,0.0
kmeans,9,822.6639224019211,0.35146663043525195,3625.4216831755784,0.889572081041044,9,0.0
kmeans,10,739.982680099311,0.3627881176334153,3627.2111714533266,0.860332778228521,10,0.0
