cluster,size,pc1_mean,pc2_mean,pc1_median,pc2_median,top_positions,top_seasons,example_players
-1,31,0.2821859786106702,-0.2641713942372185,-1.3442052923106422,-2.623351091096819,Forward: 48.4%; Midfielder: 35.5%; Defender: 16.1%,2021-2022: 61.3%; 2017-2018: 9.7%; 2018-2019: 9.7%,Tyler Morton; Kylian Mbappé; Edinson Cavani; Mauro Icardi; Malik Tillman
0,3626,0.023916321382338943,0.013159605444396613,0.3449655957643749,-0.5157794313700828,Midfielder: 41.5%; Defender: 32.4%; Forward: 18.3%,2021-2022: 64.9%; 2024-2025: 6.2%; 2019-2020: 5.1%,Thibaut Courtois; Vinícius Júnior; Luka Modric; Éder Militão; David Alaba
1,13,-7.343718974561332,-3.0405704707712924,-7.404909779372153,-3.001425102039829,Forward: 53.8%; Midfielder: 30.8%; Goalkeeper: 7.7%,2021-2022: 100.0%,Nicola Bagnolini; Iker Bravo; Adrián Butzke; Daniel Chesters; Luis Hartwig
