player_id,degree,strength,pagerank,eigenvector,betweenness
player_fae787f35f26,82,34.09900141841024,4.5211238159273076e-05,0.0,0.008518533307777493
player_745563c4992c,47,18.592658382036035,2.621862285980511e-05,0.0,0.007229534031859613
player_a00de8bd0f12,82,34.485256331568856,4.5994167391861264e-05,0.0,0.032159042507879716
player_be71d8a238a1,100,45.32863333206644,5.576268098213928e-05,0.0,0.038920345642729365
player_cb5b3166f2bd,45,18.150061328650324,2.5208007185590566e-05,0.0,0.013209653718374648
player_d8c5a555e13b,96,39.84297117494933,5.241143972202642e-05,0.0,0.021688974784905016
player_5182eba2b679,85,38.88434975335945,4.663712286513513e-05,0.0,0.021722703168924096
player_dd5735717a3e,52,23.33537288666497,2.6569544131911667e-05,0.0,0.002300132038504131
player_8fd4cb861bd7,82,37.40224158156538,4.494066513366027e-05,0.0,0.008978538418945395
player_acd4b644003d,51,20.997544847615377,2.6640327318432943e-05,0.0,0.016188532881846834
player_ee5683eff03b,44,17.888033451206212,2.2840709018860995e-05,0.0,0.010428406380441263
player_b623e24add2f,56,24.7375661794795,3.0762245096558684e-05,0.0,0.010753205128205127
player_2ff5e674cf5b,42,16.75182968530098,2.4045806051579806e-05,0.0,0.00970951529091064
player_935f9c41357a,48,19.37478942790022,2.6258983486326952e-05,0.0,0.0026283914728682167
player_1e08111a3656,40,15.096837400835271,2.2366979125872654e-05,0.0,0.005253854672459323
player_f2bb561f17f4,32,11.425881400109542,1.8296791722673507e-05,0.0,0.0022327018911321235
player_d494806b820d,8,2.0910587606770155,5.521837662446665e-06,0.0,0.0001403175313059034
player_5b2c839ffd86,66,26.900085058930834,3.7301596707278004e-05,0.0,0.008420063463668115
player_eef51dfd72c3,7,2.476981230196873,4.971935833801607e-06,0.0,1.0302197802197802e-05
player_2b5f6dd3d9ee,11,4.172444320082097,6.425890285320576e-06,0.0,0.0002098240906380441
player_e1855ba4ffe9,21,7.715543928247531,1.1593588938950517e-05,0.0,0.00012610209557883974
player_466024bedd66,36,12.699445593319645,2.0736041858545346e-05,0.0,0.0021584834738904504
player_f579a9e652b0,11,7.092255450760948,7.5136804267119554e-06,0.0,6.175994548087571e-06
player_b6db818376eb,49,22.38099026608637,2.7842489569441317e-05,0.0,0.006620080500894454
player_bc84de503414,6,2.2237066418086986,4.732705638810128e-06,0.0,2.6620666155549875e-08
player_783eaeb24b49,51,21.97482070150844,2.816831855183148e-05,0.0,0.0029263565891472867
player_6f8f849d9de8,57,21.96192003349865,3.0288160927692456e-05,0.0,0.011454420095408467
player_84ce1fddf4aa,48,18.708309915875326,2.6324641365388283e-05,0.0,0.007209728256239884
player_c1c7d1d3e8d0,50,21.1621756754641,2.6574150921948675e-05,0.0,0.02376602564102564
player_9c9648a8271f,27,11.359316283267033,1.4544975152798215e-05,0.0,0.004199862637362637
player_140d3a3cdd66,7,2.6602989241314363,3.92868823368602e-06,0.0,0.0028120208280092
player_fe34e4da279e,57,22.777551815420885,3.114273260041691e-05,0.0,0.02429364724422864
player_af1244de0872,30,11.575149706556134,1.6400631189068835e-05,0.0,0.003852196737371156
player_0c06c10c8101,36,16.70405334655506,1.9880587973995338e-05,0.0,0.008594535309651588
player_38e563a8fe4d,53,21.394486937660318,2.8975611776188834e-05,0.0,0.01963455149501661
player_099a4df3a019,53,20.80315496523565,2.9399794698428755e-05,0.0,0.0073214551920947266
player_7bd3801e1972,29,10.276113775454446,1.6583982111643604e-05,0.0,0.003319623690263225
player_a15fc720b56c,34,12.641584937505472,1.8559146353782896e-05,0.0,0.004094364937388193
player_e5d7c8b1f34f,15,6.013687991184795,9.30517531987025e-06,0.0,0.0008310971973762671
player_fd5d4a7fdb8c,29,12.036703080597032,1.589778050840946e-05,0.0,0.002308118238350796
player_de084ce71d88,5,1.8971814720845568,3.878669326211252e-06,0.0,0.00013100029815146094
player_57e079f17499,57,23.001888782933865,3.2280939860487474e-05,0.0,0.004244478873839339
player_2ec4da09e73a,25,8.712173210035921,1.318090415664874e-05,0.0,0.007387527685492801
player_e582277f703c,45,17.333528718279375,2.439290193503432e-05,0.0,0.0056220983473890445
player_a650ce9af349,12,3.9567701927864505,7.047237053340895e-06,0.0,9.69790868046682e-05
player_d66ca02a060f,44,17.54462831435619,2.5239786331015597e-05,0.0,0.001983399352585399
player_ee31733e3cb3,5,2.157718648546108,3.9586405685447035e-06,0.0,4.25930658488798e-07
