player_id,player_name,nationality,age,height_cm,weight_kg,position,team_id
player_5f825847a83e,Maro Katinić,Croatia,NULL,186,NULL,Defender,team_0a0663fb0294
player_c51cc1838f94,Rasmus Lauritsen,Denmark,NULL,188,78,Defender,team_0a0663fb0294
player_2a3dabd985c0,Sadegh Moharrami,Iran,NULL,174,71,Defender,team_0a0663fb0294
player_a6bded8f8231,Dino Perić,Croatia,NULL,197,84,Defender,team_0a0663fb0294
player_1335e8012cb1,Daniel Štefulj,Croatia,NULL,186,77,Defender,team_0a0663fb0294
player_283badfd1798,Boško Šutalo,Croatia,NULL,188,81,Defender,team_0a0663fb0294
player_dcdaffd2a7c3,Josip Šutalo,Croatia,NULL,184,82,Defender,team_0a0663fb0294
player_38e9bfbb7a72,Marko Bulat,Croatia,NULL,178,68,Midfielder,team_0a0663fb0294
player_063fd5ddfd42,Marko Đira,Croatia,NULL,171,69,Midfielder,team_0a0663fb0294
player_7cc51190bc64,Robert Ljubičić,Austria,NULL,178,75,Midfielder,team_0a0663fb0294
player_6066773fe84d,Marko Soldo,Bosnia-Herzegovina,NULL,NULL,NULL,Midfielder,team_0a0663fb0294
player_8bb38864986a,Petar Bočkaj,Croatia,NULL,179,75,Forward,team_0a0663fb0294
player_75f8b5a13333,Josip Drmić,Switzerland,NULL,183,81,Forward,team_0a0663fb0294
player_a334dc391419,Mahir Emreli,Azerbaijan,NULL,187,78,Forward,team_0a0663fb0294
player_215febbb674a,Antonio Marin,Croatia,NULL,182,78,Forward,team_0a0663fb0294
player_10eb9f43b466,Luka Menalo,Bosnia-Herzegovina,NULL,181,73,Forward,team_0a0663fb0294
player_dda59a85bf5f,Mislav Oršić,Croatia,NULL,179,69,Forward,team_0a0663fb0294
player_af14b9673415,Gabriel Rukavina,Croatia,NULL,180,NULL,Forward,team_0a0663fb0294
player_789de0326854,İsmail Çipe,Turkey,NULL,197,85,Goalkeeper,team_c6728117c52b
player_31ac2de7c89d,Okan Koçuk,Turkey,NULL,187,78,Goalkeeper,team_c6728117c52b
player_f76f727c6356,Jankat Yılmaz,Turkey,NULL,188,NULL,Goalkeeper,team_c6728117c52b
player_f5be294fbb5f,Metehan Baltacı,Turkey,NULL,189,NULL,Defender,team_c6728117c52b
player_1fa61a980128,Abdülkerim Bardakçı,Turkey,NULL,184,81,Defender,team_c6728117c52b
player_9d0cf8b14f39,Emin Bayram,Turkey,NULL,186,71,Defender,team_c6728117c52b
player_e0ab74e56954,Sacha Boey,Cameroon,NULL,178,70,Defender,team_c6728117c52b
