player_id,player_name,nationality,age,height_cm,weight_kg,position,team_id
f8cb5c6db3e4,Alexander Merkel,Unknown,,,,Unknown,088d5f86b6f2
f72337dce700,Roman Pavlyuchenko,Unknown,,,,Unknown,
b52ef23b91af,Rodney Strasser,Unknown,,,,Unknown,088d5f86b6f2
46c8ae2bd43f,Wojciech Szczesny,Unknown,,,,Unknown,4fc9baf21034
a4eaf5c2c640,Laurent Koscielny,Unknown,,,,Unknown,4fc9baf21034
ece9fc5e1a5f,Johan Djourou,Unknown,,,,Unknown,4fc9baf21034
d154e8dff6bd,Gaël Clichy,Unknown,,,,Unknown,4fc9baf21034
27e26126ec4c,Emmanuel Eboué,Unknown,,,,Unknown,4fc9baf21034
175eded31047,Jack Wilshere,Unknown,,,,Unknown,4fc9baf21034
5ffdd3b5fa21,Alex Song,Unknown,,,,Unknown,4fc9baf21034
d1e80205c9ca,Cesc Fàbregas,Unknown,,,,Unknown,4fc9baf21034
33bc0641a239,Samir Nasri,Unknown,,,,Unknown,4fc9baf21034
53358c281235,Theo Walcott,Unknown,,,,Unknown,4fc9baf21034
386a6bda026a,Robin van Persie,Unknown,,,,Unknown,4fc9baf21034
d6e72a4f2dc8,Víctor Valdés,Unknown,,,,Unknown,550d05ab240e
9fddf68cec32,Eric Abidal,Unknown,,,,Unknown,550d05ab240e
98e3614e7efe,Gerard Piqué,Unknown,,,,Unknown,550d05ab240e
a1fea5ede060,Maxwell,Unknown,,,,Unknown,550d05ab240e
30d05734e124,Dani Alves,Unknown,,,,Unknown,550d05ab240e
fba529f86d08,Sergio Busquets,Unknown,,,,Unknown,550d05ab240e
7de8bc3129d6,Andrés Iniesta,Unknown,,,,Unknown,550d05ab240e
839f9cbdd383,Xavi,Unknown,,,,Unknown,550d05ab240e
87cbfe8348c5,Lionel Messi,Unknown,,,,Unknown,550d05ab240e
2faf594a4247,Pedro,Unknown,,,,Unknown,550d05ab240e
b2e094c45ad9,David Villa,Unknown,,,,Unknown,550d05ab240e
e0d9073fc9de,Seydou Keita,Unknown,,,,Unknown,550d05ab240e
9903ed8ed5c7,Andrey Arshavin,Unknown,,,,Unknown,4fc9baf21034
1493c3d9ad18,Nicklas Bendtner,Unknown,,,,Unknown,4fc9baf21034
b60c80d4e570,Adriano,Unknown,,,,Unknown,550d05ab240e
ca55836405b4,Javier Mascherano,Unknown,,,,Unknown,550d05ab240e
6ad65e8c774d,Bacary Sagna,Unknown,,,,Unknown,4fc9baf21034
b4f45ba7a92f,Abou Diaby,Unknown,,,,Unknown,4fc9baf21034
25133ecb2e62,Tomas Rosicky,Unknown,,,,Unknown,4fc9baf21034
386fc67f3032,Manuel Almunia,Unknown,,,,Unknown,4fc9baf21034
4bd3179ea7bd,Ibrahim Afellay,Unknown,,,,Unknown,550d05ab240e
73d9baabf1f7,Doni,Unknown,,,,Unknown,
90f245197c33,Nicolás Burdisso,Unknown,,,,Unknown,
8c6f1da6d935,Philippe Mexes,Unknown,,,,Unknown,
413c84096fdb,John Arne Riise,Unknown,,,,Unknown,
b22b4e59087c,Marco Cassetti,Unknown,,,,Unknown,
f8c4ea628b7b,Simone Perrotta,Unknown,,,,Unknown,
c1da84dcee49,Daniele De Rossi,Unknown,,,,Unknown,
e618a38eaf89,Rodrigo Taddei,Unknown,,,,Unknown,
d3fcc1be09a3,Jérémy Ménez,Unknown,,,,Unknown,
5889e143caf5,Francesco Totti,Unknown,,,,Unknown,
5c1fb201cbe1,Mirko Vucinic,Unknown,,,,Unknown,
d55fd773d7bc,Andriy Pyatov,Unknown,,,,Unknown,
2ccc0ca58623,Yaroslav Rakitskiy,Unknown,,,,Unknown,
db5561db23fb,Dmytro Chygrynskiy,Unknown,,,,Unknown,
5500f5d5daf9,Razvan Rat,Unknown,,,,Unknown,
ccbd632d8c07,Darijo Srna,Unknown,,,,Unknown,
74107095539b,Henrikh Mkhitaryan,Unknown,,,,Unknown,
ac4df137c0f2,Tomás Hübschman,Unknown,,,,Unknown,
af5240ffe557,Jadson,Unknown,,,,Unknown,
7dce44bec720,Willian,Unknown,,,,Unknown,
c40c84c042b0,Douglas Costa,Unknown,,,,Unknown,
c87105628d3f,Luiz Adriano,Unknown,,,,Unknown,
a15a19a4f904,Paolo Castellini,Unknown,,,,Unknown,
364a440226e1,Eduardo,Unknown,,,,Unknown,
6048fa2838ff,Marco Borriello,Unknown,,,,Unknown,
d9f8737ed83b,Vitaliy Vitsenets,Unknown,,,,Unknown,
7b283b1ab02a,Alex Teixeira,Unknown,,,,Unknown,
92eaf3719159,Juan,Unknown,,,,Unknown,
017ccc1a241f,David Pizarro,Unknown,,,,Unknown,
d81512e434c1,Aleandro Rosi,Unknown,,,,Unknown,
63a4880d2a2b,Matteo Brighi,Unknown,,,,Unknown,
19cad8d134a3,Marcelo Moreno,Unknown,,,,Unknown,
931c24e9a5ca,Gianluca Caprari,Unknown,,,,Unknown,
8bacf98621af,Julio César De León,Unknown,,,,Unknown,
6e26cf13158a,Andrea Ranocchia,Unknown,,,,Unknown,
b0463f69bb7f,Lúcio,Unknown,,,,Unknown,
e8b5bf1b785a,Cristian Chivu,Unknown,,,,Unknown,
e668096a5ad4,Maicon,Unknown,,,,Unknown,
ecae4ecf471b,Thiago Motta,Unknown,,,,Unknown,
1ff4953eccff,Esteban Cambiasso,Unknown,,,,Unknown,
546e168a9dc5,Javier Zanetti,Unknown,,,,Unknown,
9711880fd203,Wesley Sneijder,Unknown,,,,Unknown,
54e04a284bcc,Dejan Stankovic,Unknown,,,,Unknown,
e78bc8905762,Samuel Eto'o,Unknown,,,,Unknown,
36aa1388bc01,Thomas Kraft,Unknown,,,,Unknown,240dd2121e44
bd441b1892e7,Holger Badstuber,Unknown,,,,Unknown,240dd2121e44
7765ffc39848,Anatoliy Tymoshchuk,Unknown,,,,Unknown,240dd2121e44
c57761d2f851,Danijel Pranjic,Unknown,,,,Unknown,240dd2121e44
